AI Method,Design Task,Count,Gap Type
Traditional ML,develop ,0,Empty
Traditional ML,develope,0,Empty
Traditional ML,dfine,0,Empty
Traditional ML,discover,0,Empty
Traditional ML,discovery,0,Empty
Traditional ML,"discovery, define",0,Empty
Traditional ML (Bayesian optimization),???,0,Empty
Traditional ML (Bayesian optimization),Automatic UI design evaluation,0,Empty
Traditional ML (Bayesian optimization),Converstional interface design,0,Empty
Traditional ML (Bayesian optimization),Define,0,Empty
Traditional ML (Bayesian optimization),Define / Develop,0,Empty
Traditional ML (Bayesian optimization),Delivery,0,Empty
Traditional ML (Bayesian optimization),Develop,1,Low
Traditional ML (Bayesian optimization),"Develop, conversion",0,Empty
Traditional ML (Bayesian optimization),Developing emotion recognition systems with better user interaction,0,Empty
Traditional ML (Bayesian optimization),Discovery,0,Empty
Traditional ML (Bayesian optimization),Emotion design,0,Empty
Traditional ML (Bayesian optimization),Evaluation of HCI system,0,Empty
Traditional ML (Bayesian optimization),Evaluation of UI design (user response time-based),0,Empty
Traditional ML (Bayesian optimization),HCI for feedback interface,0,Empty
Traditional ML (Bayesian optimization),Residents service design,0,Empty
Traditional ML (Bayesian optimization),adaptive HCI design,0,Empty
Traditional ML (Bayesian optimization),define,0,Empty
Traditional ML (Bayesian optimization),define ,0,Empty
Traditional ML (Bayesian optimization),"define, develop",0,Empty
Traditional ML (Bayesian optimization),develop,0,Empty
Traditional ML (Bayesian optimization),develop ,0,Empty
Traditional ML (Bayesian optimization),develope,0,Empty
Traditional ML (Bayesian optimization),dfine,0,Empty
Traditional ML (Bayesian optimization),discover,0,Empty
Traditional ML (Bayesian optimization),discovery,0,Empty
Traditional ML (Bayesian optimization),"discovery, define",0,Empty
Traditional ML (K-means),???,0,Empty
Traditional ML (K-means),Automatic UI design evaluation,0,Empty
Traditional ML (K-means),Converstional interface design,0,Empty
Traditional ML (K-means),Define,1,Low
Traditional ML (K-means),Define / Develop,0,Empty
Traditional ML (K-means),Delivery,0,Empty
Traditional ML (K-means),Develop,0,Empty
Traditional ML (K-means),"Develop, conversion",0,Empty
Traditional ML (K-means),Developing emotion recognition systems with better user interaction,0,Empty
Traditional ML (K-means),Discovery,0,Empty
Traditional ML (K-means),Emotion design,0,Empty
Traditional ML (K-means),Evaluation of HCI system,0,Empty
Traditional ML (K-means),Evaluation of UI design (user response time-based),0,Empty
Traditional ML (K-means),HCI for feedback interface,0,Empty
Traditional ML (K-means),Residents service design,0,Empty
Traditional ML (K-means),adaptive HCI design,0,Empty
Traditional ML (K-means),define,0,Empty
Traditional ML (K-means),define ,0,Empty
Traditional ML (K-means),"define, develop",0,Empty
Traditional ML (K-means),develop,0,Empty
Traditional ML (K-means),develop ,0,Empty
Traditional ML (K-means),develope,0,Empty
Traditional ML (K-means),dfine,0,Empty
Traditional ML (K-means),discover,0,Empty
Traditional ML (K-means),discovery,0,Empty
Traditional ML (K-means),"discovery, define",0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",???,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Automatic UI design evaluation,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Converstional interface design,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Define,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Define / Develop,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Delivery,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Develop,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)","Develop, conversion",0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Developing emotion recognition systems with better user interaction,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Discovery,1,Low
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Emotion design,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Evaluation of HCI system,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Evaluation of UI design (user response time-based),0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",HCI for feedback interface,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",Residents service design,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",adaptive HCI design,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",define,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",define ,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)","define, develop",0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",develop,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",develop ,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",develope,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",dfine,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",discover,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)",discovery,0,Empty
"Traditional ML (K-means, Relief algorithm, machine learning classifiers)","discovery, define",0,Empty
Traditional ML (Operations Research + Machine Learning),???,0,Empty
Traditional ML (Operations Research + Machine Learning),Automatic UI design evaluation,0,Empty
Traditional ML (Operations Research + Machine Learning),Converstional interface design,0,Empty
Traditional ML (Operations Research + Machine Learning),Define,0,Empty
Traditional ML (Operations Research + Machine Learning),Define / Develop,0,Empty
Traditional ML (Operations Research + Machine Learning),Delivery,0,Empty
Traditional ML (Operations Research + Machine Learning),Develop,1,Low
Traditional ML (Operations Research + Machine Learning),"Develop, conversion",0,Empty
Traditional ML (Operations Research + Machine Learning),Developing emotion recognition systems with better user interaction,0,Empty
Traditional ML (Operations Research + Machine Learning),Discovery,0,Empty
Traditional ML (Operations Research + Machine Learning),Emotion design,0,Empty
Traditional ML (Operations Research + Machine Learning),Evaluation of HCI system,0,Empty
Traditional ML (Operations Research + Machine Learning),Evaluation of UI design (user response time-based),0,Empty
Traditional ML (Operations Research + Machine Learning),HCI for feedback interface,0,Empty
Traditional ML (Operations Research + Machine Learning),Residents service design,0,Empty
Traditional ML (Operations Research + Machine Learning),adaptive HCI design,0,Empty
Traditional ML (Operations Research + Machine Learning),define,0,Empty
Traditional ML (Operations Research + Machine Learning),define ,0,Empty
Traditional ML (Operations Research + Machine Learning),"define, develop",0,Empty
Traditional ML (Operations Research + Machine Learning),develop,0,Empty
Traditional ML (Operations Research + Machine Learning),develop ,0,Empty
Traditional ML (Operations Research + Machine Learning),develope,0,Empty
Traditional ML (Operations Research + Machine Learning),dfine,0,Empty
Traditional ML (Operations Research + Machine Learning),discover,0,Empty
Traditional ML (Operations Research + Machine Learning),discovery,0,Empty
Traditional ML (Operations Research + Machine Learning),"discovery, define",0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),???,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Automatic UI design evaluation,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Converstional interface design,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Define,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Define / Develop,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Delivery,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Develop,1,Low
Traditional ML (comprehensive semantic data analysis with feature extraction),"Develop, conversion",0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Developing emotion recognition systems with better user interaction,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Discovery,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Emotion design,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Evaluation of HCI system,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Evaluation of UI design (user response time-based),0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),HCI for feedback interface,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),Residents service design,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),adaptive HCI design,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),define,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),define ,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),"define, develop",0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),develop,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),develop ,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),develope,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),dfine,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),discover,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),discovery,0,Empty
Traditional ML (comprehensive semantic data analysis with feature extraction),"discovery, define",0,Empty
Traditional ML (multimodal recognition approach),???,0,Empty
Traditional ML (multimodal recognition approach),Automatic UI design evaluation,0,Empty
Traditional ML (multimodal recognition approach),Converstional interface design,0,Empty
Traditional ML (multimodal recognition approach),Define,1,Low
Traditional ML (multimodal recognition approach),Define / Develop,0,Empty
Traditional ML (multimodal recognition approach),Delivery,0,Empty
Traditional ML (multimodal recognition approach),Develop,0,Empty
Traditional ML (multimodal recognition approach),"Develop, conversion",0,Empty
Traditional ML (multimodal recognition approach),Developing emotion recognition systems with better user interaction,0,Empty
Traditional ML (multimodal recognition approach),Discovery,0,Empty
Traditional ML (multimodal recognition approach),Emotion design,0,Empty
Traditional ML (multimodal recognition approach),Evaluation of HCI system,0,Empty
Traditional ML (multimodal recognition approach),Evaluation of UI design (user response time-based),0,Empty
Traditional ML (multimodal recognition approach),HCI for feedback interface,0,Empty
Traditional ML (multimodal recognition approach),Residents service design,0,Empty
Traditional ML (multimodal recognition approach),adaptive HCI design,0,Empty
Traditional ML (multimodal recognition approach),define,0,Empty
Traditional ML (multimodal recognition approach),define ,0,Empty
Traditional ML (multimodal recognition approach),"define, develop",0,Empty
Traditional ML (multimodal recognition approach),develop,0,Empty
Traditional ML (multimodal recognition approach),develop ,0,Empty
Traditional ML (multimodal recognition approach),develope,0,Empty
Traditional ML (multimodal recognition approach),dfine,0,Empty
Traditional ML (multimodal recognition approach),discover,0,Empty
Traditional ML (multimodal recognition approach),discovery,0,Empty
Traditional ML (multimodal recognition approach),"discovery, define",0,Empty
Traditional ML (shallow models),???,0,Empty
Traditional ML (shallow models),Automatic UI design evaluation,0,Empty
Traditional ML (shallow models),Converstional interface design,0,Empty
Traditional ML (shallow models),Define,1,Low
Traditional ML (shallow models),Define / Develop,0,Empty
Traditional ML (shallow models),Delivery,0,Empty
Traditional ML (shallow models),Develop,2,Low
Traditional ML (shallow models),"Develop, conversion",0,Empty
Traditional ML (shallow models),Developing emotion recognition systems with better user interaction,0,Empty
Traditional ML (shallow models),Discovery,0,Empty
Traditional ML (shallow models),Emotion design,0,Empty
Traditional ML (shallow models),Evaluation of HCI system,0,Empty
Traditional ML (shallow models),Evaluation of UI design (user response time-based),0,Empty
Traditional ML (shallow models),HCI for feedback interface,0,Empty
Traditional ML (shallow models),Residents service design,0,Empty
Traditional ML (shallow models),adaptive HCI design,0,Empty
Traditional ML (shallow models),define,0,Empty
Traditional ML (shallow models),define ,0,Empty
Traditional ML (shallow models),"define, develop",0,Empty
Traditional ML (shallow models),develop,0,Empty
Traditional ML (shallow models),develop ,0,Empty
Traditional ML (shallow models),develope,0,Empty
Traditional ML (shallow models),dfine,0,Empty
Traditional ML (shallow models),discover,0,Empty
Traditional ML (shallow models),discovery,0,Empty
Traditional ML (shallow models),"discovery, define",0,Empty
Traditional ML (shallow models); Exploratory data analysis,???,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Automatic UI design evaluation,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Converstional interface design,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Define,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Define / Develop,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Delivery,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Develop,0,Empty
Traditional ML (shallow models); Exploratory data analysis,"Develop, conversion",0,Empty
Traditional ML (shallow models); Exploratory data analysis,Developing emotion recognition systems with better user interaction,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Discovery,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Emotion design,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Evaluation of HCI system,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Evaluation of UI design (user response time-based),0,Empty
Traditional ML (shallow models); Exploratory data analysis,HCI for feedback interface,0,Empty
Traditional ML (shallow models); Exploratory data analysis,Residents service design,0,Empty
Traditional ML (shallow models); Exploratory data analysis,adaptive HCI design,0,Empty
Traditional ML (shallow models); Exploratory data analysis,define,0,Empty
Traditional ML (shallow models); Exploratory data analysis,define ,0,Empty
Traditional ML (shallow models); Exploratory data analysis,"define, develop",0,Empty
Traditional ML (shallow models); Exploratory data analysis,develop,1,Low
Traditional ML (shallow models); Exploratory data analysis,develop ,0,Empty
Traditional ML (shallow models); Exploratory data analysis,develope,0,Empty
Traditional ML (shallow models); Exploratory data analysis,dfine,0,Empty
Traditional ML (shallow models); Exploratory data analysis,discover,0,Empty
Traditional ML (shallow models); Exploratory data analysis,discovery,0,Empty
Traditional ML (shallow models); Exploratory data analysis,"discovery, define",0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",???,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Automatic UI design evaluation,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Converstional interface design,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Define,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Define / Develop,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Delivery,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Develop,1,Low
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)","Develop, conversion",0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Developing emotion recognition systems with better user interaction,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Discovery,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Emotion design,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Evaluation of HCI system,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Evaluation of UI design (user response time-based),0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",HCI for feedback interface,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",Residents service design,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",adaptive HCI design,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",define,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",define ,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)","define, develop",0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",develop,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",develop ,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",develope,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",dfine,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",discover,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)",discovery,0,Empty
"Traditional ML (speech recognition, gesture recognition, facial expression recognition)","discovery, define",0,Empty
"Traditional ML (tensor decomposition, ontologies)",???,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Automatic UI design evaluation,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Converstional interface design,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Define,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Define / Develop,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Delivery,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Develop,1,Low
"Traditional ML (tensor decomposition, ontologies)","Develop, conversion",0,Empty
"Traditional ML (tensor decomposition, ontologies)",Developing emotion recognition systems with better user interaction,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Discovery,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Emotion design,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Evaluation of HCI system,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Evaluation of UI design (user response time-based),0,Empty
"Traditional ML (tensor decomposition, ontologies)",HCI for feedback interface,0,Empty
"Traditional ML (tensor decomposition, ontologies)",Residents service design,0,Empty
"Traditional ML (tensor decomposition, ontologies)",adaptive HCI design,0,Empty
"Traditional ML (tensor decomposition, ontologies)",define,0,Empty
"Traditional ML (tensor decomposition, ontologies)",define ,0,Empty
"Traditional ML (tensor decomposition, ontologies)","define, develop",0,Empty
"Traditional ML (tensor decomposition, ontologies)",develop,0,Empty
"Traditional ML (tensor decomposition, ontologies)",develop ,0,Empty
"Traditional ML (tensor decomposition, ontologies)",develope,0,Empty
"Traditional ML (tensor decomposition, ontologies)",dfine,0,Empty
"Traditional ML (tensor decomposition, ontologies)",discover,0,Empty
"Traditional ML (tensor decomposition, ontologies)",discovery,0,Empty
"Traditional ML (tensor decomposition, ontologies)","discovery, define",0,Empty
"Traditional ML -SVM, RF, XGBoost
",???,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Automatic UI design evaluation,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Converstional interface design,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Define,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Define / Develop,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Delivery,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Develop,0,Empty
"Traditional ML -SVM, RF, XGBoost
","Develop, conversion",0,Empty
"Traditional ML -SVM, RF, XGBoost
",Developing emotion recognition systems with better user interaction,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Discovery,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Emotion design,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Evaluation of HCI system,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Evaluation of UI design (user response time-based),0,Empty
"Traditional ML -SVM, RF, XGBoost
",HCI for feedback interface,0,Empty
"Traditional ML -SVM, RF, XGBoost
",Residents service design,0,Empty
"Traditional ML -SVM, RF, XGBoost
",adaptive HCI design,0,Empty
"Traditional ML -SVM, RF, XGBoost
",define,0,Empty
"Traditional ML -SVM, RF, XGBoost
",define ,0,Empty
"Traditional ML -SVM, RF, XGBoost
","define, develop",0,Empty
"Traditional ML -SVM, RF, XGBoost
",develop,0,Empty
"Traditional ML -SVM, RF, XGBoost
",develop ,1,Low
"Traditional ML -SVM, RF, XGBoost
",develope,0,Empty
"Traditional ML -SVM, RF, XGBoost
",dfine,0,Empty
"Traditional ML -SVM, RF, XGBoost
",discover,0,Empty
"Traditional ML -SVM, RF, XGBoost
",discovery,0,Empty
"Traditional ML -SVM, RF, XGBoost
","discovery, define",0,Empty
"Traditional ML, Exploratory data analysis",???,0,Empty
"Traditional ML, Exploratory data analysis",Automatic UI design evaluation,0,Empty
"Traditional ML, Exploratory data analysis",Converstional interface design,0,Empty
"Traditional ML, Exploratory data analysis",Define,0,Empty
"Traditional ML, Exploratory data analysis",Define / Develop,0,Empty
"Traditional ML, Exploratory data analysis",Delivery,0,Empty
"Traditional ML, Exploratory data analysis",Develop,1,Low
"Traditional ML, Exploratory data analysis","Develop, conversion",0,Empty
"Traditional ML, Exploratory data analysis",Developing emotion recognition systems with better user interaction,0,Empty
"Traditional ML, Exploratory data analysis",Discovery,0,Empty
"Traditional ML, Exploratory data analysis",Emotion design,0,Empty
"Traditional ML, Exploratory data analysis",Evaluation of HCI system,0,Empty
"Traditional ML, Exploratory data analysis",Evaluation of UI design (user response time-based),0,Empty
"Traditional ML, Exploratory data analysis",HCI for feedback interface,0,Empty
"Traditional ML, Exploratory data analysis",Residents service design,0,Empty
"Traditional ML, Exploratory data analysis",adaptive HCI design,0,Empty
"Traditional ML, Exploratory data analysis",define,0,Empty
"Traditional ML, Exploratory data analysis",define ,0,Empty
"Traditional ML, Exploratory data analysis","define, develop",0,Empty
"Traditional ML, Exploratory data analysis",develop,0,Empty
"Traditional ML, Exploratory data analysis",develop ,0,Empty
"Traditional ML, Exploratory data analysis",develope,0,Empty
"Traditional ML, Exploratory data analysis",dfine,0,Empty
"Traditional ML, Exploratory data analysis",discover,0,Empty
"Traditional ML, Exploratory data analysis",discovery,0,Empty
"Traditional ML, Exploratory data analysis","discovery, define",0,Empty
"Traditional ML, exploratory data analysis",???,0,Empty
"Traditional ML, exploratory data analysis",Automatic UI design evaluation,0,Empty
"Traditional ML, exploratory data analysis",Converstional interface design,0,Empty
"Traditional ML, exploratory data analysis",Define,0,Empty
"Traditional ML, exploratory data analysis",Define / Develop,0,Empty
"Traditional ML, exploratory data analysis",Delivery,0,Empty
"Traditional ML, exploratory data analysis",Develop,0,Empty
"Traditional ML, exploratory data analysis","Develop, conversion",0,Empty
"Traditional ML, exploratory data analysis",Developing emotion recognition systems with better user interaction,0,Empty
"Traditional ML, exploratory data analysis",Discovery,0,Empty
"Traditional ML, exploratory data analysis",Emotion design,0,Empty
"Traditional ML, exploratory data analysis",Evaluation of HCI system,0,Empty
"Traditional ML, exploratory data analysis",Evaluation of UI design (user response time-based),0,Empty
"Traditional ML, exploratory data analysis",HCI for feedback interface,0,Empty
"Traditional ML, exploratory data analysis",Residents service design,0,Empty
"Traditional ML, exploratory data analysis",adaptive HCI design,0,Empty
"Traditional ML, exploratory data analysis",define,0,Empty
"Traditional ML, exploratory data analysis",define ,0,Empty
"Traditional ML, exploratory data analysis","define, develop",0,Empty
"Traditional ML, exploratory data analysis",develop ,0,Empty
"Traditional ML, exploratory data analysis",develope,1,Low
"Traditional ML, exploratory data analysis",dfine,0,Empty
"Traditional ML, exploratory data analysis",discover,0,Empty
"Traditional ML, exploratory data analysis",discovery,0,Empty
"Traditional ML, exploratory data analysis","discovery, define",0,Empty
"deep model, traditional ml, exploratory data analysis",???,0,Empty
"deep model, traditional ml, exploratory data analysis",Automatic UI design evaluation,0,Empty
"deep model, traditional ml, exploratory data analysis",Converstional interface design,0,Empty
"deep model, traditional ml, exploratory data analysis",Define,0,Empty
"deep model, traditional ml, exploratory data analysis",Define / Develop,0,Empty
"deep model, traditional ml, exploratory data analysis",Delivery,0,Empty
"deep model, traditional ml, exploratory data analysis",Develop,0,Empty
"deep model, traditional ml, exploratory data analysis","Develop, conversion",0,Empty
"deep model, traditional ml, exploratory data analysis",Developing emotion recognition systems with better user interaction,0,Empty
"deep model, traditional ml, exploratory data analysis",Discovery,0,Empty
"deep model, traditional ml, exploratory data analysis",Emotion design,0,Empty
"deep model, traditional ml, exploratory data analysis",Evaluation of HCI system,0,Empty
"deep model, traditional ml, exploratory data analysis",Evaluation of UI design (user response time-based),0,Empty
"deep model, traditional ml, exploratory data analysis",HCI for feedback interface,0,Empty
"deep model, traditional ml, exploratory data analysis",Residents service design,0,Empty
"deep model, traditional ml, exploratory data analysis",adaptive HCI design,0,Empty
"deep model, traditional ml, exploratory data analysis",define,0,Empty
"deep model, traditional ml, exploratory data analysis",define ,0,Empty
"deep model, traditional ml, exploratory data analysis","define, develop",0,Empty
"deep model, traditional ml, exploratory data analysis",develop,1,Low
"deep model, traditional ml, exploratory data analysis",develop ,0,Empty
"deep model, traditional ml, exploratory data analysis",develope,0,Empty
"deep model, traditional ml, exploratory data analysis",dfine,0,Empty
"deep model, traditional ml, exploratory data analysis",discover,0,Empty
"deep model, traditional ml, exploratory data analysis",discovery,0,Empty
"deep model, traditional ml, exploratory data analysis","discovery, define",0,Empty
deep models,???,0,Empty
deep models,Automatic UI design evaluation,0,Empty
deep models,Converstional interface design,0,Empty
deep models,Define,0,Empty
deep models,Define / Develop,0,Empty
deep models,Delivery,0,Empty
deep models,Develop,0,Empty
deep models,"Develop, conversion",0,Empty
deep models,Developing emotion recognition systems with better user interaction,0,Empty
deep models,Discovery,0,Empty
deep models,Emotion design,0,Empty
deep models,Evaluation of HCI system,0,Empty
deep models,Evaluation of UI design (user response time-based),0,Empty
deep models,HCI for feedback interface,0,Empty
deep models,Residents service design,0,Empty
deep models,adaptive HCI design,0,Empty
deep models,define,1,Low
deep models,define ,0,Empty
deep models,"define, develop",0,Empty
deep models,develop,1,Low
deep models,develop ,0,Empty
deep models,develope,0,Empty
deep models,dfine,1,Low
deep models,discover,0,Empty
deep models,discovery,0,Empty
deep models,"discovery, define",0,Empty
"deep models, exploratory data analysis",???,0,Empty
"deep models, exploratory data analysis",Automatic UI design evaluation,0,Empty
"deep models, exploratory data analysis",Converstional interface design,0,Empty
"deep models, exploratory data analysis",Define,0,Empty
"deep models, exploratory data analysis",Define / Develop,0,Empty
"deep models, exploratory data analysis",Delivery,0,Empty
"deep models, exploratory data analysis",Develop,0,Empty
"deep models, exploratory data analysis","Develop, conversion",0,Empty
"deep models, exploratory data analysis",Developing emotion recognition systems with better user interaction,0,Empty
"deep models, exploratory data analysis",Discovery,0,Empty
"deep models, exploratory data analysis",Emotion design,0,Empty
"deep models, exploratory data analysis",Evaluation of HCI system,0,Empty
"deep models, exploratory data analysis",Evaluation of UI design (user response time-based),0,Empty
"deep models, exploratory data analysis",HCI for feedback interface,0,Empty
"deep models, exploratory data analysis",Residents service design,0,Empty
"deep models, exploratory data analysis",adaptive HCI design,0,Empty
"deep models, exploratory data analysis",define,1,Low
"deep models, exploratory data analysis",define ,0,Empty
"deep models, exploratory data analysis","define, develop",0,Empty
"deep models, exploratory data analysis",develop,0,Empty
"deep models, exploratory data analysis",develop ,0,Empty
"deep models, exploratory data analysis",develope,0,Empty
"deep models, exploratory data analysis",dfine,0,Empty
"deep models, exploratory data analysis",discover,0,Empty
"deep models, exploratory data analysis",discovery,0,Empty
"deep models, exploratory data analysis","discovery, define",0,Empty
"deep models, gen ai",???,0,Empty
"deep models, gen ai",Automatic UI design evaluation,0,Empty
"deep models, gen ai",Converstional interface design,0,Empty
"deep models, gen ai",Define,0,Empty
"deep models, gen ai",Define / Develop,0,Empty
"deep models, gen ai",Delivery,0,Empty
"deep models, gen ai",Develop,0,Empty
"deep models, gen ai","Develop, conversion",0,Empty
"deep models, gen ai",Developing emotion recognition systems with better user interaction,0,Empty
"deep models, gen ai",Discovery,0,Empty
"deep models, gen ai",Emotion design,0,Empty
"deep models, gen ai",Evaluation of HCI system,0,Empty
"deep models, gen ai",Evaluation of UI design (user response time-based),0,Empty
"deep models, gen ai",HCI for feedback interface,0,Empty
"deep models, gen ai",Residents service design,0,Empty
"deep models, gen ai",adaptive HCI design,0,Empty
"deep models, gen ai",define,1,Low
"deep models, gen ai",define ,0,Empty
"deep models, gen ai","define, develop",0,Empty
"deep models, gen ai",develop,0,Empty
"deep models, gen ai",develop ,0,Empty
"deep models, gen ai",develope,0,Empty
"deep models, gen ai",dfine,0,Empty
"deep models, gen ai",discover,0,Empty
"deep models, gen ai",discovery,0,Empty
"deep models, gen ai","discovery, define",0,Empty
"deep models, gen ai, traditional ml, exploratory data analysis",???,0,Empty
"deep models, gen ai, traditional ml, exploratory data analysis",Automatic UI design evaluation,0,Empty
"deep models, gen ai, traditional ml, exploratory data analysis",Converstional interface design,0,Empty
"deep models, gen ai, traditional ml, exploratory data analysis",Define,0,Empty
"deep models, gen ai, traditional ml, exploratory data analysis",Define / Develop,0,Empty
"deep models, gen ai, traditional ml, exploratory data analysis",Delivery,0,Empty
"deep models, gen ai, traditional ml, exploratory data analysis",Develop,0,Empty
"deep models, gen ai, traditional ml, exploratory data analysis","Develop, conversion",0,Empty
