Article Title,Publication Year,AI_Method_Normalized,Design_Task_Normalized,Combined_Keywords,TF_IDF_Keywords,KeyBERT_Keywords
"Designing Age-Inclusive Interfaces: Emerging Mobile, Conversational, and Generative AI to Support Interactions across the Life Span",2024,,,interfaces(0.096); conversational(0.077); mobile conversational(0.077); generational(0.077); cross generational(0.077); inter(0.077); inter cross generational(0.077); inter cross(0.077); mobile(0.075); cross(0.065),interfaces(0.240); conversational(0.192); mobile conversational(0.192); generational(0.192); cross generational(0.192); inter(0.192); inter cross generational(0.192); inter cross(0.192); mobile(0.186); cross(0.162),
"Designing Age-Inclusive Interfaces: Emerging Mobile, Conversational, and Generative AI to Support Interactions across the Life Span",2024,,,interfaces(0.102); conversational(0.081); mobile conversational(0.081); inter(0.081); mobile(0.079); age relevant(0.054); advances generative ai(0.054); generational(0.054); older(0.054); inter cross(0.054),interfaces(0.255); conversational(0.204); mobile conversational(0.203); inter(0.203); mobile(0.197); age relevant(0.135); advances generative ai(0.135); generational(0.135); older(0.135); inter cross(0.135),
The artistic design of user interaction experience for mobile systems based on context-awareness and machine learning,2022,,,theory(0.131); art(0.126); recommendation(0.122); class(0.122); make(0.098); augmented reality(0.081); reality(0.072); augmented(0.072); education(0.072); values(0.068),theory(0.328); art(0.316); recommendation(0.304); class(0.304); make(0.246); augmented reality(0.203); reality(0.179); augmented(0.179); education(0.179); values(0.171),
ITIU: Intention Understanding via Interactive Table in Large Language Models,2024,,,understanding(0.180); specialized(0.122); interacting(0.086); llms(0.078); phase(0.074); interactive(0.065); generated(0.063); enhance(0.062); challenges(0.062); user(0.060),understanding(0.450); specialized(0.305); interacting(0.215); llms(0.194); phase(0.186); interactive(0.163); generated(0.158); enhance(0.154); challenges(0.154); user(0.150),
CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,2020,,,cui(0.252); workshop(0.144); chi(0.077); community(0.068); build(0.058); challenges(0.052); interaction(0.040); drawing(0.039); hands(0.036); social(0.036),cui(0.631); workshop(0.361); chi(0.193); community(0.171); build(0.145); challenges(0.129); interaction(0.101); drawing(0.096); hands(0.090); social(0.090),
Generating educational mobile applications using UIDPs identified by artificial intelligence techniques,2020,,,developers(0.120); software(0.102); development(0.099); mobile(0.099); images(0.084); devices(0.063); expert(0.063); brand(0.063); apps(0.063); process(0.062),developers(0.299); software(0.255); development(0.248); mobile(0.247); images(0.211); devices(0.158); expert(0.158); brand(0.158); apps(0.158); process(0.156),
A training and assessment system for human-computer interaction combining fNIRS and eye-tracking data,2024,,,cognitive(0.207); physiological(0.155); human computer interaction(0.124); features(0.075); levels(0.062); precision(0.059); multimodal(0.056); assessment(0.054); significant(0.050); interactive(0.047),cognitive(0.518); physiological(0.389); human computer interaction(0.311); features(0.187); levels(0.155); precision(0.147); multimodal(0.140); assessment(0.134); significant(0.125); interactive(0.118),
Beyond Manual Modeling: Automating GUI Model Generation Using Design Documents,2024,,,gui(0.276); documents(0.092); models(0.086); model(0.083); design documents(0.069); generation(0.066); behaviors(0.064); code(0.061); automated(0.054); tasks(0.050),gui(0.689); documents(0.229); models(0.214); model(0.207); design documents(0.172); generation(0.165); behaviors(0.161); code(0.153); automated(0.134); tasks(0.126),
Exploring the impact of integrated design on employee learning engagement in the ubiquitous learning context: A deep learning-based hybrid multistage approach,2025,,,engagement(0.181); domain specific(0.161); specific(0.118); domain(0.111); learning(0.086); value(0.086); design elements(0.082); elements(0.065); compatibility(0.065); direct(0.060),engagement(0.453); domain specific(0.404); specific(0.294); domain(0.278); learning(0.215); value(0.214); design elements(0.204); elements(0.162); compatibility(0.161); direct(0.151),
(Re-)connecting with Nature in Urban Life: Engaging with Wildlife via AI-powered Wearables,2022,,,nature(0.301); device(0.100); users(0.079); available(0.076); interaction(0.053); human(0.051); recognizing(0.050); detect(0.047); design interactive(0.047); designers consider(0.047),nature(0.753); device(0.251); users(0.197); available(0.189); interaction(0.131); human(0.127); recognizing(0.125); detect(0.117); design interactive(0.117); designers consider(0.117),
User Feedback Design in AI-Driven Mood Tracker Mobile Apps,2022,,,feedback(0.227); user(0.163); apps(0.078); user experiences(0.078); testing(0.074); opportunities(0.074); experiences(0.070); app(0.070); map(0.065); artificial intelligence(0.061),feedback(0.567); user(0.407); apps(0.194); user experiences(0.194); testing(0.184); opportunities(0.184); experiences(0.175); app(0.175); map(0.162); artificial intelligence(0.153),
Boundary-Aware Supervoxel-Level Iteratively Refined Interactive 3D Image Segmentation With Multi-Agent Reinforcement Learning,2021,,,segmentation(0.222); boundary(0.131); reward(0.111); interactions(0.090); interactive(0.079); policy(0.074); agent(0.069); reinforcement learning(0.063); considering(0.063); reinforcement(0.063),segmentation(0.556); boundary(0.328); reward(0.278); interactions(0.225); interactive(0.197); policy(0.185); agent(0.173); reinforcement learning(0.156); considering(0.156); reinforcement(0.156),
AI driven human-computer interaction design framework of virtual environment based on comprehensive semantic data analysis with feature extraction,2022,,,virtual(0.152); technology(0.133); interaction(0.119); body(0.091); computer(0.085); computer interaction(0.076); human computer interaction(0.076); human computer(0.073); human(0.066); rapid development(0.061),virtual(0.380); technology(0.333); interaction(0.298); body(0.228); computer(0.212); computer interaction(0.190); human computer interaction(0.190); human computer(0.184); human(0.164); rapid development(0.152),
Conversations in the Cloud: Crafting Harmony in AliCloud Computing Interaction Design,2024,,,cloud(0.198); services(0.145); conversational(0.112); conversational interaction design(0.105); conversational interaction(0.105); interaction(0.078); user experience(0.066); user(0.065); interaction design(0.063); interface(0.045),cloud(0.495); services(0.364); conversational(0.281); conversational interaction design(0.262); conversational interaction(0.262); interaction(0.195); user experience(0.165); user(0.162); interaction design(0.157); interface(0.111),
Vehicle Multi-sensory User Interaction Design Research Based on MINDS Methods,2020,,,vehicle(0.202); interaction(0.131); technology(0.122); vehicles(0.110); user(0.090); recognition(0.080); interact(0.074); users(0.065); future(0.061); multi(0.052),vehicle(0.505); interaction(0.326); technology(0.304); vehicles(0.276); user(0.226); recognition(0.199); interact(0.184); users(0.163); future(0.152); multi(0.130),
GANSpiration: Balancing Targeted and Serendipitous Inspiration in User Interface Design with Style-Based Generative Adversarial Network,2022,,,inspiration(0.178); examples(0.121); example(0.093); design examples(0.089); overall(0.081); focus(0.081); creative(0.081); user(0.062); techniques(0.058); generative(0.057),inspiration(0.446); examples(0.302); example(0.234); design examples(0.223); overall(0.201); focus(0.201); creative(0.201); user(0.155); techniques(0.145); generative(0.142),
Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive Text/Voice Artificial Intelligence (AI) Agent,2022,,,artificial intelligence(0.133); human(0.110); class(0.109); problem solving(0.109); solving(0.092); trained(0.088); models(0.081); develop(0.077); problem(0.071); support(0.064),artificial intelligence(0.333); human(0.275); class(0.272); problem solving(0.272); solving(0.229); trained(0.220); models(0.203); develop(0.192); problem(0.178); support(0.159),
Machine Learning Based User Interface Generation,2020,,,product(0.115); idea(0.113); web(0.106); product development(0.106); developers(0.100); components(0.091); development(0.083); ideas(0.056); designers(0.055); hand(0.053),product(0.287); idea(0.282); web(0.264); product development(0.264); developers(0.250); components(0.229); development(0.207); ideas(0.141); designers(0.138); hand(0.132),
Interaction Design With Multi-Objective Bayesian Optimization,2023,,,designers(0.127); multi objective(0.115); objective(0.101); decision making(0.098); optimization(0.090); making(0.087); decision(0.087); multi(0.081); interaction design(0.073); interaction(0.068),designers(0.319); multi objective(0.288); objective(0.254); decision making(0.245); optimization(0.224); making(0.218); decision(0.218); multi(0.203); interaction design(0.183); interaction(0.170),
A Checklist for the Usability Evaluation of Artificial Intelligence (AI) mHealth Applications Graphical User Interface,2024,,,usability(0.278); artificial intelligence(0.154); health(0.097); user interface(0.071); interface(0.068); practitioners(0.067); mobile(0.063); user(0.062); apps(0.054); phase(0.046),usability(0.695); artificial intelligence(0.385); health(0.242); user interface(0.178); interface(0.171); practitioners(0.167); mobile(0.157); user(0.156); apps(0.134); phase(0.116),
User emotion recognition and indoor space interaction design: a CNN model optimized by multimodal weighted networks,2024,,,visual(0.124); network model(0.107); recognition(0.097); emotion recognition(0.096); multimodal(0.096); emotion(0.092); network(0.092); weighting(0.076); weights(0.076); interior(0.076),visual(0.310); network model(0.266); recognition(0.242); emotion recognition(0.240); multimodal(0.240); emotion(0.231); network(0.229); weighting(0.190); weights(0.190); interior(0.190),
Understanding AI-Generated Personal Narratives as Design Material for Socially Engaging Things,2022,,,social(0.189); ai generated(0.161); generated(0.139); people(0.118); artificial intelligence(0.079); experiences(0.068); prototype(0.068); requirements(0.056); user(0.053); experience(0.045),social(0.472); ai generated(0.404); generated(0.347); people(0.294); artificial intelligence(0.198); experiences(0.170); prototype(0.170); requirements(0.139); user(0.132); experience(0.111),
