Index,Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Phase,Design Practice/Task,Notes,Questions
189,189_The Application of Deep Learning for the Evaluation of User Interfaces,,,,,"This paper focuses exclusively on evaluating and improving user interface designs for web applications. The research investigates layout arrangements, color combinations, font choices, and visual design elements to optimize user experience and interface usability. The entire study centers on UI design effectiveness measured through user interaction metrics.",The study collected behavioral data by recording user response times and answer accuracy as participants interacted with different UI designs while solving mathematical tasks.,The study uses convolutional neural networks (CNNs) to analyze images of user interface designs. The researchers explicitly generated and stored UI screenshots as images for deep learning model training and evaluation.,"The paper uses deep convolutional neural networks (CNNs) including VGG19, InceptionResNetV2, Xception, and ResNet50 to evaluate user interface designs from images. The input data are screenshots of UI layouts, and the models process these visual inputs through multiple convolutional layers to predict user response times. This is a computer vision application using deep learning architectures.","The deep learning model performs dual AI assistance functions: (1) Prediction - it predicts future user response times and performance metrics for UI designs, and (2) Decision making/Evaluation - it evaluates and ranks different UI designs to help developers and designers choose the most effective interface.","The paper involves developing and testing machine learning models to evaluate user interface designs, including implementation of CNN architectures, training with collected data, and validation of results through experiments. The work centers on creating and testing a technical solution.","The paper focuses on evaluating user interface designs by testing them with real users and measuring performance metrics (response time, accuracy). The goal is to automatically evaluate and rank UI designs based on their effectiveness and usability.",Analyzed by PDF Analyzer on 2025-10-23,
81,81_Social Computational Design Method for Generating Product Shapes with GAN and Transformer Models,,,,,"The paper explicitly focuses on product shape design methodology, using computational techniques to generate physical product shapes. The case study involves drone shape design with 3D shape grammar and parametric modeling.","The paper focuses entirely on product shape design, specifically using AI to generate design solutions for physical products like drones. The data analyzed consists of product shapes, product design solutions, and product shape grammar rules.","The paper uses both sequential text-like data (shape grammar rule sequences processed by Transformer models) and visual/spatial data (3D shape representations processed by conditional convolutional GAN). The dual-modality approach is explicit: grammar rules are treated as sequences for prediction, while shape designs are embedded as images for generative modeling.","The paper explicitly employs Generative Adversarial Networks (GAN) and Transformer models for generative design purposes. GANs are used to generate product shape designs and expand training data, while Transformers predict grammar rule sequences to complete incomplete design solutions.","This paper employs three distinct AI assistance types: (1) Design generation through GAN models that automatically generate product shape solutions by learning configuration patterns, (2) Prediction using Transformer models to predict complete grammar rule sequences from incomplete design solutions, and (3) Decision making through Bayesian networks that evaluate and select generated solutions. The method integrates all three types as Key Enabling Technologies (KETs) in a comprehensive social computational design framework.","The paper focuses on generating and creating product shape design solutions using computational methods (GAN and Transformer models). The entire methodology is centered on developing design solutions through intelligent algorithms, training generative models, and completing design outputs. The case study demonstrates actual development of drone shape designs using the proposed platform and WebAPPs.","The paper presents a computational method for generating and developing product shape designs using AI models (GAN and Transformer). The focus is on creating design solutions through shape grammar rules and sequence prediction, which represents the development phase where design concepts are generated and refined. The method supports designers in developing complete design solutions from incomplete inputs through intelligent computation.",Analyzed by PDF Analyzer on 2025-10-23,
148,148_Integrating and navigating engineering design decision-related knowledge using decision knowledge graph,,,,,"The paper explicitly focuses on engineering design decision-making processes and applies its knowledge graph methodology to engineering design problems. Throughout the paper, 'engineering design' is the primary domain discussed, with specific applications to product and system design including ships, aircraft, structural materials, thermal systems, gearboxes, and pressure vessels.","The paper focuses on engineering design decisions for products and systems, including supply chain design, product lifecycle knowledge, and design parameters for engineered products such as gearboxes, pressure vessels, ships, and aircraft.","The paper processes word-based cDSP formulations extracted from textual documents using natural language processing techniques. The input data consists of unstructured text-based documents such as research papers and technical reports, which are converted into structured knowledge graphs.","The paper employs classical NLP and information retrieval techniques including TF-IDF for importance evaluation, statistical modeling with exponential distributions for threshold selection, and rule-based text processing. While word embeddings are mentioned as an alternative, they are not implemented due to insufficient training data.","The system performs two key functions: (1) sense making by converting unstructured textual design documents into structured knowledge graphs using NLP, and (2) decision making support by enabling designers to navigate and retrieve relevant decision-related knowledge through the knowledge graph to support their design decisions.","The paper focuses on developing and implementing a knowledge-graph-based method and system for decision support in engineering design. The authors present the development of a meta-model (mDKG), construction procedures for knowledge graphs using NLP, and navigation algorithms. They are actively creating and testing their Cloud-Based Decision Support platform with verification through case studies.","The paper focuses on helping designers prepare for decision-making by structuring and navigating decision-related knowledge from textual documents. The primary design practice addressed is Step 1 of the decision-making process: gathering and organizing relevant information before formulating design decisions. This involves information search, knowledge retrieval, and preparation activities that enable designers to understand problems and reuse past design knowledge.",Analyzed by PDF Analyzer on 2025-10-29,
84,84_SketchCleanNet - A deep learning approach to the enhancement and correction of query sketches for a 3D CAD model retrieval system,,,,,"This paper focuses exclusively on 3D CAD model retrieval for engineering components (washers, pistons, connecting rods, gears) and mechanical parts. The entire research context is product development, engineering design processes, and CAD modeling for industrial applications.","The paper focuses on 3D CAD models of engineering components and mechanical products such as washers, pistons, connecting rods, and gear parts. The data consists of sketches and models representing physical manufactured products used in engineering design.",The paper processes 2D sketch images of 3D CAD models. The input data consists of rough query sketches (defective images) and the output is clean/enhanced sketch images. The entire pipeline involves image-to-image translation using convolutional neural networks that process pixel-level visual data.,"The paper proposes SketchCleanNet, a deep learning approach using Fully Convolutional Networks (FCN) with encoder-decoder architecture for sketch enhancement. The method employs multiple convolutional layers, skip connections, and end-to-end training to process image inputs for a computer vision task (image-to-image translation). The approach is compared against other deep CV models including VGGNet, ResNet, and DenseNet.","The AI system generates enhanced/cleaned sketches from defective input sketches. The core function is to automatically create improved visual artifacts (clean sketches) from rough query sketches, which constitutes design generation assistance.","The paper focuses on building and implementing a deep learning solution (SketchCleanNet) for sketch enhancement. The work involves dataset creation, neural network architecture design, end-to-end training, testing, and validation - all core development activities.",The paper addresses the design practice of searching and retrieving existing CAD models and reference designs to support new product development. This is a discovery/research phase activity where designers need to find relevant existing designs to inform their design process.,Analyzed by PDF Analyzer on 2025-10-29,
115,115_Data-driven multi-objective affective product design integrating three-dimensional form and color,,,,,"The paper focuses on physical product appearance design, specifically integrating 3D form and color for affective product design. The methodology employs engineering optimization techniques for product form design with a case study on car design, which is characteristic of industrial design and engineering design disciplines.","The paper collects data about consumers' affective responses and emotional perceptions of product appearance (car design). The study uses emotion evaluation methods where test subjects rate car designs based on emotional adjectives, measuring perceptual and affective responses to visual stimuli.","The paper analyzes visual product appearance data, specifically 3D car forms and colors presented as rendered images and pictures for user evaluation and computational processing.","The paper employs traditional machine learning approaches including backpropagation neural networks (BPNN), auto-encoders for dimensionality reduction, and genetic algorithms for optimization. The neural network architectures described are shallow (e.g., 14-8-1 structure), not deep learning models.","The paper employs multiple AI assistance types: (1) Prediction - GABP neural networks predict emotional responses from appearance features, (2) Design generation - ISPEA2 optimization algorithm generates optimal product designs, and (3) Decision making - entropy-TOPSIS evaluates and selects the best design scheme from multiple alternatives.","The paper focuses on constructing, implementing, and validating a data-driven design method through mathematical models, prediction systems, optimization algorithms, and experimental testing with user evaluations. The work involves building design application systems, creating prototypes (Model I and Model II), conducting user studies with 100 test subjects, and iterative optimization.","The paper focuses on developing and optimizing product appearance (3D form and color) through computational methods. The entire workflow involves quantification, prediction, and optimization to generate optimal product designs based on affective/emotional criteria. This is clearly a design development activity.",Analyzed by PDF Analyzer on 2025-10-29,
159,159_Will artificial intelligence platforms replace designers in the future analyzing the impact of artificial intelligence platforms on the engineering design industry through color perception,,,,,"This paper investigates the impact of AI platforms on the engineering design industry broadly, involving participants from multiple design specializations including graphic designers (33.33%), product/industrial designers (33.33%), architectural designers (16.67%), and interior designers (16.67%). The design tasks span product design (lamp, car), fashion design (hat), and illustration (pet). The study examines design processes, color perception, and AI platform usage across these diverse design disciplines, making it a cross-disciplinary investigation rather than being limited to a single design field.","The study primarily investigates color perception differences between designers and non-designers when using AI platforms. The research analyzes how perceptual learning through design education influences color choices (hue, saturation, luminance) in design decision-making, making perception the central focus of the data collected.","The study explicitly collected and analyzed two types of data: (1) visual representations from 96 AI-generated design images that underwent color cluster analysis using k-means algorithm, and (2) textual data from focus group discussion transcripts that underwent thematic analysis. Both modalities were essential to the research methodology.","The paper focuses on AI platforms that use deep learning models for computer vision applications, specifically image generation. The study analyzes platforms like Midjourney, DALL-E, and Stable Diffusion which leverage deep neural network architectures including CNNs, GANs, and diffusion models for generating images from text prompts.","The study demonstrates AI platforms serving dual roles: (1) generating design images and materials from text prompts using Midjourney, where participants created table lamps, hats, pet illustrations, and cars; and (2) providing creative inspiration and helping designers discover ideas through vast visual repositories. Survey results show 74.77% recognized AI as inspiration repository while 72.07% valued efficient material production.","This research focuses on participants actively creating design solutions using AI platforms. The study involves completing design tasks (lamp, hat, pet illustration, car) and evaluates how AI platforms support conceptual design, preliminary design, and prototyping activities, which are core aspects of the Develop phase.","The paper investigates AI platforms' role in design workflows, with primary focus on early-stage creative activities. The study reveals AI platforms are most effective for conceptual design, brainstorming, and gathering inspiration. Thematic analysis shows 'Inspiration Collection' had the highest frequency (n=9) among design process advantages, and survey results indicate designers rate AI platforms highest for 'conceptual design (sketches, brainstorming, etc.)' with average score of 2.99±1.56.",Analyzed by PDF Analyzer on 2025-10-29,
105,105_Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,,,,,"The paper focuses on 3D reconstruction from freehand design sketching with a specific application to eyeglass frame design, which is clearly a product design domain. While the paper mentions potential architectural applications in the introduction, the entire methodology, dataset, experiments, and results are centered on industrial product design (eyeglass frames). The research demonstrates practical application in product development and manufacturing contexts.","The paper focuses on 3D reconstruction of eyeglass frames, which are industrial design products. The dataset consists of eyeglass frame models created by professional designers for real-world production, representing product geometries, shapes, and design characteristics.","The paper processes 2D freehand design sketches as visual input data. The input is explicitly defined as binary sketch images with pixel dimensions, and image processing techniques like Sobel filters are used for edge detection and feature extraction.","The paper employs deep learning techniques for computer vision tasks, specifically using DINOv2 (a self-supervised Vision Transformer model) for feature extraction and Multi-Layer Perceptron networks for SDF regression to reconstruct 3D shapes from 2D sketches.","The system provides two types of AI assistance: (1) Design generation - it reconstructs and generates complete 3D models from 2D sketches, and (2) Prediction - it predicts 3D geometries and spatial properties from incomplete 2D freehand input. The deep learning model predicts SDF values and 3D coordinates while generating the final 3D mesh model.","The paper focuses on converting freehand design sketches into 3D digital models for verification, refinement, and further development of design proposals. This process of taking conceptual sketches and developing them into concrete 3D representations that can be iteratively refined falls squarely within the Develop phase of the design process.","The paper addresses the design practice of transforming freehand conceptual sketches into 3D digital models during the development phase. It focuses on the technical process of 3D shape reconstruction that enables designers to verify, refine, and further develop their initial design proposals, representing a transition from ideation to concrete 3D prototyping.",Analyzed by PDF Analyzer on 2025-10-29,
94,94_Generative adaptable design based on hidden Markov model,,,,,"This paper focuses on engineering design methodology for physical products, specifically developing a Hidden Markov Model approach for generating adaptable product designs with modular structures. The case study involves Hybrid Additive Manufacturing device design, which is a mechanical engineering product. The entire paper addresses product design cycles, structural modules, and manufacturing considerations.","This paper focuses on product design, specifically analyzing structural modules, functional requirements, and connection relations within products. The data analyzed includes historical product data, product modules, interfaces, and product configurations for design generation.",The paper uses text-based functional requirements and structural module descriptions as primary data. The HMM operates on symbolic representations of product requirements and design configurations extracted from product databases.,"The paper employs Hidden Markov Model (HMM), which is a classical probabilistic statistical model based on Markov processes and state transitions, not a deep learning or neural network-based approach.","The HMM-based method generates design configurations from functional requirements, predicts structural module matches through probabilistic state transitions, and evaluates solutions using information entropy to identify optimal designs.","The paper focuses on generating and creating design solutions through a systematic method. It presents a generative design approach that matches functional requirements to structural modules, generates multiple design configurations, evaluates them, and develops actual prototypes (HAM device with initial and improved designs). This is clearly solution development work rather than discovery, requirement definition, or final delivery.","The paper focuses on generative design concept generation using Hidden Markov Models to automatically match structural modules to functional requirements and generate multiple design configurations. This is a core 'Develop' phase activity involving systematic concept generation, module matching, and design solution synthesis. The method transforms functional requirements into structural configurations through intelligent automation, which is a fundamental concept development and configuration design task.",Analyzed by PDF Analyzer on 2025-10-29,
183,183_Machine Learning Based User Interface Generation,,,,,"The paper focuses on automating the user interface design-to-development workflow by converting UI mockups and sketches into functional HTML code. The entire system is designed to detect UI components (textboxes, buttons, labels) and generate web interfaces, which is core UI/UX design work.","The paper focuses on analyzing and generating user interface designs and their components (textboxes, buttons, checkboxes, labels, etc.), which are product artifacts in web and mobile app development.",The system processes both image data (hand-drawn sketches and web mockups) as input and extracts text data through Optical Character Recognition (OCR) to identify handwritten content within the design components.,"The paper uses Convolutional Neural Networks (CNNs) for computer vision tasks including image classification, ROI detection, and component identification from hand-drawn UI sketches. They also experimented with R-CNN, Faster-RCNN, and YOLO algorithms for object detection.","The system automatically generates functional HTML code, wireframes, and design implementations from hand-drawn sketches and mockups. The primary function is to produce design artifacts (code) rather than predict, validate, or coordinate.","The paper focuses on the technical implementation and development of a working system that converts UI sketches to HTML code. It describes detailed architecture, neural network models, image processing pipelines, and code generation implementation. The conclusion explicitly states 'The implemented solution provides an innovative and efficient way of designing front-end interfaces.'","The paper focuses on converting hand-drawn design sketches and mockups into functional HTML wireframes and prototypes, automating the transition from conceptual design to working implementation. This bridges the gap between initial design ideation and functional prototype development.",Analyzed by PDF Analyzer on 2025-10-29,
145,145_Decision-Making with Probabilistic Reasoning in Engineering Design,,,,,"The paper explicitly focuses on engineering design decision-making with a concrete application to mechanical product development. The application example involves designing a rotary valve component for a hot drink preparation machine, addressing embodiment design and detailed design phases typical of engineering design processes.","The paper focuses on engineering design decisions for physical product development, specifically a rotary valve component. All data analyzed relates to product parameters (rotor pocket size, dosing volume, weight, density) and product development processes.","The system utilizes numerical sensor measurements and sequential parameter data collected from the dosing process, including weight, density, volume, and filling levels monitored over operational cycles.","The paper uses Bayesian networks and decision networks, which are probabilistic graphical models. These are classic traditional machine learning methods that use probability theory and graph structures for reasoning under uncertainty, not deep learning approaches.",The paper explicitly focuses on using decision networks and Bayesian networks to support engineers in making optimal design decisions under uncertainty. The AI system evaluates different design alternatives (rotor pocket sizes) using utility functions and validates design robustness by modeling uncertainties with probabilities.,"This paper focuses on decision-making during embodiment design and detailed design phases, where geometric considerations and specific parameters (rotor pocket size) are determined. The methodology supports engineers in making design decisions during the active development of product specifications and configurations.","The paper focuses on supporting engineers in making design decisions under uncertainty during product development, specifically using probabilistic reasoning and decision networks to select optimal design parameters. The entire methodology is centered around improving the decision-making process in engineering design.",Analyzed by PDF Analyzer on 2025-10-29,
98,98_Supervised deep learning for the moving morphable components topology optimization framework,,,,,"This paper focuses on topology optimization for mechanical engineering design, specifically developing a deep learning method to accelerate structural optimization. The work involves mechanical structures, finite element analysis, and optimization of mechanical properties - all core aspects of engineering design.","This paper focuses on topology optimization for mechanical engineering design, specifically generating optimal structural designs for mechanical components and products like beams, aircraft wings, and bridges using geometric design variables and structural analysis.","The paper uses numerical vectors as input (coordinates, forces, volume fractions) and output (geometric design variables), explicitly avoiding image-based representations. The model processes structured numerical data describing spatial attributes through dense description vectors.","The paper explicitly uses deep learning architectures including Convolutional Neural Networks (CNNs), residual connections inspired by computer vision (ResNet), and discusses CNN encoder-decoder architectures. The methodology is based on supervised deep learning with neural network models trained on image-based topology representations.","The deep learning model both generates structural topology designs by producing geometric design variables that define structural components, and predicts optimal design variable values based on boundary conditions and constraints learned from training data.","This paper focuses on developing and implementing a deep learning model for topology optimization, including training the model, testing its performance, and creating a novel acceleration approach for the MMC framework.","The paper addresses topology optimization in mechanical engineering design, which is a computational design development method. It focuses on automatically generating optimal structural designs by efficiently distributing material to maximize mechanical properties. This represents the engineering design and development phase where structural solutions are computationally generated and optimized.",Analyzed by PDF Analyzer on 2025-10-29,
158,158_A Novel User Emotional Interaction Design Model Using Long and Short-Term Memory Networks and Deep Learning,,,,,"This paper focuses on interaction design and user experience, specifically developing an emotional interaction design model to enhance user experience through emotion recognition. The core contribution is optimizing interactive systems and improving user experience.","The research uses speech signals as the primary data source for emotion recognition. Speech is a behavioral output produced by users, and the study extracts MFCC features from speech recordings in the EMO-DB and CASIA datasets to recognize emotional states.",The paper exclusively uses speech signals as experimental material. The methodology involves extracting MFCC features from speech signals and using audio datasets (EMO-DB and CASIA) with specific sampling rates for emotion recognition.,The paper implements an improved Long Short-Term Memory (LSTM) network combined with self-attention mechanism for speech emotion recognition. LSTM is a deep learning architecture commonly used for sequential data processing in NLP. The methodology involves deep feature extraction from speech signals using recurrent neural networks.,"The AI system performs emotion recognition from speech signals to understand user emotional states (sense making), and then uses these recognized emotions to determine appropriate interaction responses and user models (decision making). The system interprets speech data to identify emotions and makes decisions about how to adapt the interactive system accordingly.","The paper focuses on developing and implementing a novel emotion recognition system using improved LSTM networks and self-attention mechanisms. The main contributions are building the technical model, implementing the algorithm, conducting experiments, and validating the effectiveness of the proposed solution through testing on multiple datasets.","The paper focuses on developing and implementing an emotional interaction system using deep learning for emotion recognition. It involves designing the system architecture, implementing the technical solution (ILSTM and attention mechanism), conducting experiments, and discussing the feasibility of the emotional interaction design framework.",Analyzed by PDF Analyzer on 2025-10-29,
125,125_Machine learning-based design support system for the prediction of heterogeneous machine parameters in industry 4.0,,,,,"This paper focuses on engineering design processes for industrial machinery, specifically developing a design support system for predicting machine specifications, geometry, and design parameters for electric motors and compressors. The entire work is centered on optimizing engineering design workflows in Industry 4.0 manufacturing contexts.","The paper focuses on predicting machine specifications, geometry, and design parameters for electric motors and compressors. All data inputs and outputs relate to technical product specifications and characteristics.","The datasets consist of structured numerical and categorical engineering specifications including motor performance metrics (RPM, torque, efficiency, power) and compressor parameters (angles, diameters, pressure, flow rates) measured as continuous and discrete variables over operational ranges.","The paper employs classical machine learning algorithms including Decision/Regression Trees, K-Nearest Neighbors, and Neighborhood Component Features Selection. These are standard shallow learning methods, not deep learning or generative AI approaches.","The system combines prediction capabilities with decision support. It predicts machine specifications, geometry, and design parameters from heterogeneous inputs, then uses these predictions to support designers in making technical choices and design decisions.","The paper focuses on the development, implementation, and validation of a machine learning-based Design Support System (DesSS). The work involves creating ML algorithms, building a cloud platform framework, implementing the system architecture, and experimentally validating it on real datasets.","The paper focuses on supporting designers in determining and optimizing specific technical parameters (machine geometry, materials, specifications) during the detailed design phase. The DesSS helps predict machine specification data and guides designers toward optimal technical choices based on performance requirements, cost, and application constraints. This represents the development/refinement stage where specific design solutions are being engineered and optimized.",Analyzed by PDF Analyzer on 2025-10-29,
